Game ID,Result
4906339,8.87x
4906340,6.46x
4906341,5.03x
4906342,1x
4906343,1.46x
4906344,2.05x
4906345,4.77x
4906346,1.13x
4906347,5.15x
4906348,1.29x
4906349,4x
4906350,2.69x
4906351,2.42x
4906352,1.92x
4906353,8.25x
4906354,1.01x
4906355,1.92x
4906356,7.96x
4906357,7.81x
4906358,6.62x
4906359,1.14x
4906360,2.36x
4906361,185.84x
4906362,2.75x
4906363,1.8x
4906364,2.78x
4906365,4.2x
4906366,2.71x
4906367,2.81x
4906368,44.7x
4906369,1.04x
4906370,1.21x
4906371,1.14x
4906372,1.89x
4906373,1.03x
4906374,3.22x
4906375,1.06x
4906376,22.67x
4906377,1.03x
4906378,4.68x
4906379,4.91x
4906380,2.47x
4906381,2.23x
4906382,3.57x
4906383,2.23x
4906384,3.45x
4906385,1.13x
4906386,10.86x
4906387,2.01x
4906388,1.01x
4906389,2.36x
4906390,1.66x
4906391,4.75x
4906392,6.52x
4906393,5x
4906394,1.16x
4906395,1.45x
4906396,1.04x
4906397,5.34x
4906398,6.97x
4906399,1.96x
4906400,4.05x
4906401,31.68x
4906402,1.37x
4906403,2.22x
4906404,1.16x
4906405,1.22x
4906406,6.53x
4906407,2.03x
4906408,1.52x
4906409,1.16x
4906410,1.39x
4906411,2.3x
4906412,1.2x
4906413,1.43x
4906414,3.45x
4906415,1.19x
4906416,1.44x
4906417,1.54x
4906418,1.5x
4906419,4.57x
4906420,1.34x
4906421,5.36x
4906422,1.29x
4906423,3.6x
4906424,1.32x
4906425,1.52x
4906426,4.1x
4906427,1.33x
4906428,1.8x
4906429,1.89x
4906430,1.75x
4906431,16665.54x
4906432,27.52x
4906433,151.35x
4906434,1.63x
4906435,4.7x
4906436,2.93x
4906437,3.89x
4906438,1.95x
4906439,6.79x
4906440,2.56x
4906441,1x
4906442,2.87x
4906443,1.66x
4906444,1.46x
4906445,1.5x
4906446,29.31x
4906447,1.15x
4906448,2.89x
4906449,1.14x
4906450,14.78x
4906451,1.4x
4906452,1.26x
4906453,6.19x
4906454,1.65x
4906455,1.51x
4906456,1.55x
4906457,1.2x
4906458,1.21x
4906459,3.56x
4906460,1.82x
4906461,1.5x
4906462,3.03x
4906463,1.42x
4906464,60.16x
4906465,1.32x
4906466,1.13x
4906467,6.53x
4906468,1.2x
4906469,1.66x
4906470,2.11x
4906471,1.05x
4906472,1.89x
4906473,1.07x
4906474,1.54x
4906475,2.89x
4906476,2.8x
4906477,1.26x
4906478,1.47x
